#Saved Data from the class confocal_logic on 15.06.2026 at 14h25m59s.
#
#Parameters:
#===========
#
#X image min (m): 9.9999999999999995e-08
#X image max (m): 2.0000000000000001e-04
#X image range (m): 1.9990000000000001e-04
#Y image min: 9.9999999999999995e-08
#Y image max: 2.0000000000000001e-04
#Y image range: 1.9990000000000001e-04
#XY resolution (samples per range): 200
#XY Image at z position (m): 2.1848226020267184e-05
#Clock frequency of scanner (Hz): 500
#Return Slowness (Steps during retrace line): 50
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr3 (Hz)	
8.136181e-06	1.104523e-06	2.184823e-05	1.580000e+05
9.140704e-06	1.104523e-06	2.184823e-05	1.470000e+05
1.014523e-05	1.104523e-06	2.184823e-05	1.335000e+05
1.114975e-05	1.104523e-06	2.184823e-05	1.300000e+05
1.215427e-05	1.104523e-06	2.184823e-05	1.650000e+05
1.315879e-05	1.104523e-06	2.184823e-05	1.435000e+05
1.416332e-05	1.104523e-06	2.184823e-05	8.050000e+04
1.516784e-05	1.104523e-06	2.184823e-05	4.450000e+04
1.617236e-05	1.104523e-06	2.184823e-05	2.750000e+04
1.717688e-05	1.104523e-06	2.184823e-05	1.150000e+04
1.818141e-05	1.104523e-06	2.184823e-05	1.150000e+04
1.918593e-05	1.104523e-06	2.184823e-05	7.000000e+03
2.019045e-05	1.104523e-06	2.184823e-05	1.450000e+04
2.119497e-05	1.104523e-06	2.184823e-05	1.050000e+04
2.219950e-05	1.104523e-06	2.184823e-05	1.200000e+04
2.320402e-05	1.104523e-06	2.184823e-05	1.000000e+04
2.420854e-05	1.104523e-06	2.184823e-05	9.500000e+03
2.521307e-05	1.104523e-06	2.184823e-05	1.300000e+04
2.621759e-05	1.104523e-06	2.184823e-05	1.450000e+04
2.722211e-05	1.104523e-06	2.184823e-05	9.500000e+03
2.822663e-05	1.104523e-06	2.184823e-05	1.550000e+04
2.923116e-05	1.104523e-06	2.184823e-05	1.000000e+04
3.023568e-05	1.104523e-06	2.184823e-05	8.500000e+03
3.124020e-05	1.104523e-06	2.184823e-05	1.100000e+04
3.224472e-05	1.104523e-06	2.184823e-05	1.100000e+04
3.324925e-05	1.104523e-06	2.184823e-05	7.500000e+03
3.425377e-05	1.104523e-06	2.184823e-05	1.250000e+04
3.525829e-05	1.104523e-06	2.184823e-05	9.000000e+03
3.626281e-05	1.104523e-06	2.184823e-05	1.100000e+04
3.726734e-05	1.104523e-06	2.184823e-05	9.000000e+03
3.827186e-05	1.104523e-06	2.184823e-05	1.400000e+04
3.927638e-05	1.104523e-06	2.184823e-05	1.300000e+04
4.028090e-05	1.104523e-06	2.184823e-05	1.050000e+04
4.128543e-05	1.104523e-06	2.184823e-05	1.150000e+04
4.228995e-05	1.104523e-06	2.184823e-05	1.400000e+04
4.329447e-05	1.104523e-06	2.184823e-05	1.000000e+04
4.429899e-05	1.104523e-06	2.184823e-05	1.350000e+04
4.530352e-05	1.104523e-06	2.184823e-05	1.250000e+04
4.630804e-05	1.104523e-06	2.184823e-05	1.050000e+04
4.731256e-05	1.104523e-06	2.184823e-05	1.700000e+04
4.831709e-05	1.104523e-06	2.184823e-05	1.100000e+04
4.932161e-05	1.104523e-06	2.184823e-05	1.100000e+04
5.032613e-05	1.104523e-06	2.184823e-05	1.300000e+04
5.133065e-05	1.104523e-06	2.184823e-05	1.200000e+04
5.233518e-05	1.104523e-06	2.184823e-05	1.150000e+04
5.333970e-05	1.104523e-06	2.184823e-05	1.250000e+04
5.434422e-05	1.104523e-06	2.184823e-05	1.400000e+04
5.534874e-05	1.104523e-06	2.184823e-05	1.000000e+04
5.635327e-05	1.104523e-06	2.184823e-05	1.350000e+04
5.735779e-05	1.104523e-06	2.184823e-05	8.500000e+03
5.836231e-05	1.104523e-06	2.184823e-05	1.500000e+04
5.936683e-05	1.104523e-06	2.184823e-05	9.000000e+03
6.037136e-05	1.104523e-06	2.184823e-05	3.500000e+03
6.137588e-05	1.104523e-06	2.184823e-05	8.500000e+03
6.238040e-05	1.104523e-06	2.184823e-05	6.000000e+03
6.338492e-05	1.104523e-06	2.184823e-05	1.250000e+04
6.438945e-05	1.104523e-06	2.184823e-05	1.400000e+04
6.539397e-05	1.104523e-06	2.184823e-05	1.300000e+04
6.639849e-05	1.104523e-06	2.184823e-05	1.050000e+04
6.740302e-05	1.104523e-06	2.184823e-05	9.000000e+03
6.840754e-05	1.104523e-06	2.184823e-05	9.000000e+03
6.941206e-05	1.104523e-06	2.184823e-05	1.400000e+04
7.041658e-05	1.104523e-06	2.184823e-05	7.000000e+03
7.142111e-05	1.104523e-06	2.184823e-05	8.500000e+03
7.242563e-05	1.104523e-06	2.184823e-05	1.050000e+04
7.343015e-05	1.104523e-06	2.184823e-05	4.250000e+04
7.443467e-05	1.104523e-06	2.184823e-05	4.000000e+04
7.543920e-05	1.104523e-06	2.184823e-05	1.700000e+04
